Activity Period;Operating Airline;Operating Airline IATA Code;Published Airline;Published Airline IATA Code;GEO Summary;GEO Region;Landing Aircraft Type;Aircraft Body Type;Aircraft Manufacturer;Aircraft Model;Aircraft Version;Landing Count;Total Landed Weight
200507;Cathay Pacific;CX;Cathay Pacific;CX;International;Asia;Passenger;Wide Body;Boeing;747;400;31;19,530,000
200507;China Airlines;CI;China Airlines;CI;International;Asia;Passenger;Wide Body;Boeing;747;400;39;24,570,000
200507;China Airlines;CI;China Airlines;CI;International;Asia;Freighter;Wide Body;Boeing;747;;27;17,982,000
200507;China Cargo Airlines;CK;China Cargo Airlines;CK;International;Asia;Freighter;Wide Body;McDonnell Douglas;MD-11;;13;6,129,500
200507;Delta Air Lines;DL;Delta Air Lines;DL;Domestic;US;Passenger;Narrow Body;Boeing;737;800;190;27,360,000
200507;Delta Air Lines;DL;Delta Air Lines;DL;Domestic;US;Passenger;Narrow Body;Boeing;757;;172;34,056,000
200507;Delta Air Lines;DL;Delta Air Lines;DL;Domestic;US;Passenger;Wide Body;Boeing;767;200;45;12,150,000
200507;Delta Air Lines;DL;Delta Air Lines;DL;Domestic;US;Passenger;Wide Body;Boeing;767;300;59;17,405,000
200507;Delta Air Lines;DL;Delta Air Lines;DL;Domestic;US;Passenger;Wide Body;Boeing;767;300ER;24;7,680,000
200507;Delta Air Lines;DL;Delta Air Lines;DL;Domestic;US;Passenger;Wide Body;Boeing;767;400;62;21,700,000
200507;EVA Airways;BR;EVA Airways;BR;International;Asia;Combi;Wide Body;Boeing;747;400;57;35,853,000
200507;EVA Airways;BR;EVA Airways;BR;International;Asia;Passenger;Wide Body;McDonnell Douglas;MD-11;0;4;1,884,000
200507;Evergreen International Airlines;EZ;Evergreen International Airlines;EZ;Domestic;US;Freighter;Wide Body;Boeing;747;100;1;585,000
200507;Federal Express;FX;Federal Express;FX;Domestic;US;Freighter;Wide Body;McDonnell Douglas;DC-10;10;46;17,250,000
200507;Federal Express;FX;Federal Express;FX;Domestic;US;Freighter;Wide Body;McDonnell Douglas;DC-10;30;1;436,000
200507;Federal Express;FX;Federal Express;FX;Domestic;US;Freighter;Wide Body;McDonnell Douglas;MD-11;;20;9,630,000
200507;Frontier Airlines;F9;Frontier Airlines;F9;Domestic;US;Passenger;Narrow Body;Airbus;A318;;28;3,458,000
200507;Frontier Airlines;F9;Frontier Airlines;F9;Domestic;US;Passenger;Narrow Body;Airbus;A319;;147;19,771,500
200507;Hawaiian Airlines;HA;Hawaiian Airlines;HA;Domestic;US;Passenger;Wide Body;Boeing;767;300;31;9,920,000
200507;Horizon Air ;QX;Alaska Airlines;AS;Domestic;US;Passenger;Regional Jet;Bombardier;CRJ;700;93;6,231,000
200507;Icelandair;FI;Icelandair;FI;International;Europe;Passenger;Wide Body;Boeing;767;300ER;17;5,440,000
200507;Independence Air;DH;Independence Air;DH;Domestic;US;Passenger;Narrow Body;Airbus;A319;;93;12,815,400
200507;Japan Airlines;JL;Japan Airlines;JL;International;Asia;Freighter;Wide Body;Boeing;747;200;50;31,500,000
200507;Japan Airlines;JL;Japan Airlines;JL;International;Asia;Passenger;Wide Body;Boeing;747;400;31;19,530,000
200507;KLM Royal Dutch Airlines;KL;KLM Royal Dutch Airlines;KL;International;Europe;Passenger;Wide Body;Boeing;777;200;31;14,570,000
200507;Kalitta Air;K4;Kalitta Air;K4;Domestic;US;Freighter;Wide Body;Boeing;747;200;9;5,670,000
200507;Kitty Hawk Air Cargo;KR;Kitty Hawk Air Cargo;KR;Domestic;US;Freighter;Narrow Body;Boeing;727;200;11;1,754,000
200507;Kitty Hawk Air Cargo;KR;Kitty Hawk Air Cargo;KR;Domestic;US;Freighter;Narrow Body;Boeing;737;300;14;1,632,400
200507;Korean Air Lines;KE;Korean Air Lines;KE;International;Asia;Freighter;Wide Body;Boeing;747;400;8;5,224,000
200507;Korean Air Lines;KE;Korean Air Lines;KE;International;Asia;Freighter;Wide Body;Boeing;747;;19;12,388,000
200507;Korean Air Lines;KE;Korean Air Lines;KE;International;Asia;Passenger;Wide Body;Boeing;777;200;22;10,120,000
200507;Lufthansa German Airlines;LH;Lufthansa German Airlines;LH;International;Europe;Passenger;Wide Body;Boeing;747;430;31;19,530,000
200507;Lufthansa German Airlines;LH;Lufthansa German Airlines;LH;International;Europe;Passenger;Wide Body;Airbus;A340;600;31;17,701,000
200507;Mesa Airlines;YV;US Airways;US ;Domestic;US;Passenger;Regional Jet;Bombardier;CRJ;900;35;2,572,500
200507;Mexicana Airlines;MX;Mexicana Airlines;MX;International;Mexico;Passenger;Narrow Body;Airbus;A318;;1;126,770
200507;Mexicana Airlines;MX;Mexicana Airlines;MX;International;Mexico;Passenger;Narrow Body;Airbus;A319;;20;2,690,000
200507;Mexicana Airlines;MX;Mexicana Airlines;MX;International;Mexico;Passenger;Narrow Body;Airbus;A320;;42;5,972,400
200507;Midwest Airlines;YX;Midwest Airlines;YX;Domestic;US;Passenger;Narrow Body;McDonnell Douglas;MD-88;;31;4,324,500
200507;Nippon Cargo Airlines;KZ;Nippon Cargo Airlines;KZ;International;Asia;Freighter;Wide Body;Boeing;747;200;48;30,240,000
200507;Northwest Airlines;NW;Northwest Airlines;NW;Domestic;US;Freighter;Wide Body;Boeing;747;200;3;1,890,000
200507;Northwest Airlines;NW;Northwest Airlines;NW;International;Asia;Freighter;Wide Body;Boeing;747;200;1;639,000
200507;Northwest Airlines;NW;Northwest Airlines;NW;Domestic;US;Passenger;Narrow Body;Boeing;757;300;93;20,832,000
200507;Northwest Airlines;NW;Northwest Airlines;NW;Domestic;US;Passenger;Narrow Body;Boeing;757;;185;36,630,000
200507;Northwest Airlines;NW;Northwest Airlines;NW;Domestic;US;Passenger;Narrow Body;Airbus;A319;;9;1,209,600
200507;Northwest Airlines;NW;Northwest Airlines;NW;Domestic;US;Passenger;Narrow Body;Airbus;A320;;83;11,802,600
200507;Northwest Airlines;NW;Northwest Airlines;NW;International;Asia;Passenger;Wide Body;Airbus;A330;223;31;12,437,200
200507;Philippine Airlines;PR;Philippine Airlines;PR;International;Asia;Passenger;Wide Body;Boeing;747;400;28;17,640,000
200507;Philippine Airlines;PR;Philippine Airlines;PR;International;Asia;Passenger;Wide Body;Airbus;A340;300;8;3,351,040
200507;Singapore Airlines;SQ;Singapore Airlines;SQ;International;Asia;Passenger;Wide Body;Boeing;747;400;33;20,790,000
200507;Singapore Airlines;SQ;Singapore Airlines;SQ;International;Asia;Passenger;Wide Body;Boeing;747;;2;1,331,600
200507;Singapore Airlines;SQ;Singapore Airlines;SQ;International;Asia;Passenger;Wide Body;Boeing;777;200ER;31;14,230,550
200507;SkyWest Airlines;OO;Delta Air Lines;DL;Domestic;US;Passenger;Regional Jet;Bombardier;CRJ;500;155;7,285,000
200507;SkyWest Airlines;OO;United Airlines - Pre 07/01/2013;UA;Domestic;US;Passenger;Regional Jet;Bombardier;CRJ;600;268;17,956,000
200507;SkyWest Airlines;OO;United Airlines - Pre 07/01/2013;UA;International;Canada;Passenger;Regional Jet;Bombardier;CRJ;600;62;4,154,000
200507;SkyWest Airlines;OO;United Airlines - Pre 07/01/2013;UA;Domestic;US;Passenger;Regional Jet;Bombardier;CRJ;700;1,360;63,920,000
200507;SkyWest Airlines;OO;United Airlines - Pre 07/01/2013;UA;Domestic;US;Passenger;Turbo Prop;Embraer;ERJ;120;1,655;42,699,000
200507;Sun Country Airlines;SY;Sun Country Airlines;SY;Domestic;US;Passenger;Narrow Body;Boeing;737;800;31;4,533,500
200507;TACA;TA;TACA;TA;International;Central America;Passenger;Narrow Body;Airbus;A320;;62;8,816,400
200507;Tradewinds Airlines;WI;Tradewinds Airlines;WI;Domestic;US;Freighter;Wide Body;Boeing;747;200B;8;5,040,000
200507;US Airways;US ;US Airways;US ;Domestic;US;Passenger;Narrow Body;Boeing;737;300;144;16,426,400
200507;US Airways;US ;US Airways;US ;Domestic;US;Passenger;Narrow Body;Airbus;A319;;148;20,379,700
200507;US Airways;US ;US Airways;US ;Domestic;US;Passenger;Narrow Body;Airbus;A320;;100;14,213,600
200507;US Airways;US ;US Airways;US ;Domestic;US;Passenger;Narrow Body;Airbus;A321;;259;44,418,500
200507;United Airlines;UA;United Airlines;UA;Domestic;US;Passenger;Narrow Body;Boeing;737;200;1;98,000
200507;United Airlines;UA;United Airlines;UA;Domestic;US;Passenger;Narrow Body;Boeing;737;500;4;440,000
200507;United Airlines;UA;United Airlines;UA;Domestic;US;Passenger;Narrow Body;Boeing;737;700;76;9,728,000
200507;United Airlines;UA;United Airlines;UA;Domestic;US;Passenger;Narrow Body;Boeing;737;800;199;28,656,000
200507;United Airlines;UA;United Airlines;UA;Domestic;US;Passenger;Narrow Body;Boeing;737;900;26;3,829,800
200507;United Airlines;UA;United Airlines;UA;Domestic;US;Passenger;Narrow Body;Boeing;737;;68;7,752,000
200507;United Airlines;UA;United Airlines;UA;Domestic;US;Passenger;Narrow Body;Boeing;757;200;61;12,078,000
200507;United Airlines;UA;United Airlines;UA;Domestic;US;Passenger;Wide Body;Boeing;767;300;1;350,000
